wl;up_coef;dw_coef;wl_F;up_coef_F;dw_coef_F;Device ID
705.2951575;0.003016086;0.001213831;580.11151;2.93E-05;0.00021718;
705.4605621;0.003014191;0.001213173;580.8144209;2.94E-05;0.000217859;
705.6259338;0.003012358;0.0012125;581.5171501;2.96E-05;0.000218602;
705.7912727;0.003010598;0.001211825;582.2196974;2.97E-05;0.000219408;
705.9565787;0.003008923;0.001211164;582.9220628;2.98E-05;0.000220274;
706.1218519;0.003007345;0.00121053;583.6242462;3.00E-05;0.000221186;
706.2870923;0.003005866;0.001209934;584.3262476;3.01E-05;0.00022213;
706.4522998;0.003004468;0.001209373;585.0280669;3.03E-05;0.000223088;
706.6174745;0.003003124;0.001208845;585.7297041;3.04E-05;0.000224045;
706.7826163;0.003001806;0.001208344;586.4311592;3.06E-05;0.000224985;
706.9477253;0.003000489;0.001207866;587.132432;3.07E-05;0.000225891;
707.1128014;0.002999145;0.001207405;587.8335225;3.09E-05;0.000226752;
707.2778447;0.002997747;0.001206959;588.5344307;3.10E-05;0.000227566;
707.4428551;0.002996278;0.001206521;589.2351565;3.11E-05;0.000228334;
707.6078327;0.002994743;0.001206089;589.9356998;3.12E-05;0.00022906;
707.7727773;0.00299316;0.00120566;590.6360607;3.13E-05;0.000229746;
707.9376891;0.002991543;0.001205229;591.3362391;3.14E-05;0.000230393;
708.1025681;0.002989908;0.001204793;592.0362348;3.15E-05;0.000231003;
708.2674141;0.002988269;0.00120435;592.7360479;3.16E-05;0.00023158;
708.4322273;0.002986642;0.001203894;593.4356783;3.17E-05;0.000232129;
708.5970075;0.002985039;0.001203425;594.135126;3.18E-05;0.000232659;
708.7617549;0.002983457;0.001202943;594.8343908;3.19E-05;0.000233176;
708.9264694;0.002981891;0.001202452;595.5334728;3.20E-05;0.000233687;
709.0911511;0.002980335;0.001201952;596.2323719;3.21E-05;0.0002342;
709.2557998;0.002978783;0.001201447;596.931088;3.22E-05;0.000234721;
709.4204156;0.00297723;0.00120094;597.6296212;3.23E-05;0.00023525;
709.5849985;0.002975669;0.001200432;598.3279712;3.24E-05;0.000235788;
709.7495485;0.002974096;0.001199925;599.0261382;3.25E-05;0.000236333;
709.9140656;0.002972506;0.001199418;599.7241219;3.26E-05;0.000236886;
710.0785498;0.002970892;0.001198907;600.4219225;3.27E-05;0.000237446;
710.243001;0.002969251;0.001198392;601.1195398;3.28E-05;0.000238013;
710.4074194;0.002967577;0.001197867;601.8169737;3.30E-05;0.000238586;
710.5718048;0.002965865;0.001197333;602.5142243;3.31E-05;0.000239165;
710.7361573;0.00296411;0.001196785;603.2112915;3.32E-05;0.00023975;
710.9004768;0.00296231;0.001196224;603.9081751;3.33E-05;0.00024034;
711.0647635;0.002960475;0.001195659;604.6048753;3.34E-05;0.000240935;
711.2290172;0.002958616;0.001195104;605.3013918;3.35E-05;0.000241534;
711.3932379;0.002956745;0.001194571;605.9977248;3.36E-05;0.000242137;
711.5574257;0.002954876;0.001194072;606.693874;3.37E-05;0.000242744;
